user_id,item_id,category_id,hist_item_ids,label
471,142,3,177|197,0
323,123,5,198|79|195|81|41|174|125|113|85,0
219,187,4,52|135|87|168|168,0
297,12,8,185|123|141|175|30|104|107,0
60,92,9,31|52|171|176|7,0
390,200,4,2|25|135|121|12|34|118|52|137,0
238,74,7,140|116|42|183|113|144,0
441,158,6,143|18|183|49|132|3|32|198,0
66,163,5,34|149|84|26|65|108|160|5|192|130|176|187|31|19|156,1
235,183,7,104|138|32|105|3|66|50|137|183|30|160|132,1
485,149,1,186|109|68|65|168|57|32|115|199,0
92,40,2,53|187|187|102|81|164|39|131|137|143,0
306,176,8,123|149|20,0
97,14,8,49|193|110|187|33|42|123|121|159|186|165|29,0
155,174,7,165|132|27|43|171|196|151|20|124,0
415,94,9,18|18|83|124,1
268,23,10,23|60|63|63|194,0
225,140,10,63|178|199|60|23|144|63|80,1
118,71,2,23|115|36|63|83|29|78|54|170|172|1|121,0
235,158,6,13|77|47|30|198|26,0
354,183,7,116,0
318,48,7,98|98|84|161|48|192|48|98|79|129|136|191|174|59,0
244,20,6,128|125|128|157|114|114|128|28|20|157|28|115|33,1
402,89,9,36|47|83,1
457,82,2,51|22|99|73|17|117|197|22|177|117,0
362,3,5,2|123|18|122|155|54|48|45|45|23|50|132|61|157,0
270,64,5,42|150|110|160|184|79|175|34|184|36|171|79|193|26,1
233,54,5,124|52,0
470,191,7,48|155|161|74,1
321,116,1,86|35|6|171|55,1
151,76,4,21|93|135|168|52|62|189|168|193|67|200,1
137,184,5,159|91|13|39|137,0
97,51,2,167|186,1
117,181,2,20|55|145|102|153|115|169|113|12,0
20,76,4,61,0
36,13,8,134|1|111|12|109,0
149,37,9,1|61|71|162|25|80,0
94,10,6,157|184,1
389,197,2,193|11,0
358,13,8,14|38|109|16|161|121|60|198|132|135|35,0
356,96,3,26|174|148|73|140|1|8|102|125|188|152,0
129,166,4,199|17|188,0
364,29,5,59|40|122,0
14,98,7,161|84|59|121|122|25|121|39|122|191|121,0
381,163,5,108|182|164|75|19|3|46|4|46|26|185|19|123|69,0
486,159,8,119|171|150|51|71|123|3|164|57|15|67|168|55|108|163,0
145,140,10,45|199|160,1
148,130,6,97|48|23|27|104|74,0
50,4,5,53|54,1
359,65,4,180|143|184|158|60|27|23|177|112|60,0
173,123,5,25|195|103|111|83|55|190|98|135|8|56|161|18|21,0
137,114,6,9|32|140,1
8,96,3,68|100|38|196|153|69|191|66|29|188|192|63|119,0
346,142,3,142|38|110|96|118|31|95|188|31,1
238,7,7,56,0
420,128,6,126,1
67,87,4,76|187|166|138|135|65|135,0
186,152,10,100|27|6|28|189|96|64|90|52|175|200|17|144|68|10,1
103,6,1,120|24|187|162|188|107|110|158,0
309,98,7,183,1
51,159,8,195|87|160|142|29,0
401,41,8,19|170|178|102|116|45|14|189|97|55|139|6|16,0
122,38,3,113|177|162|59|181|105,0
371,165,9,32|140|101|91|135|166,0
398,177,2,179|7|106|24|179|8|5|66|41|100|60|72,0
468,97,7,136|183|79|48|79|74|122|183|122,1
345,67,4,187|87|52|87|93|21|196|138|21,0
7,33,6,102|123|3|132|184|106,0
228,7,7,107|191|136|121|107,1
102,194,10,140|80|45|63|194|45|66|160|60,1
488,50,8,159|12|109|13|12|106|70|105|159|12|85|134,1
249,182,5,175,1
185,51,2,102|158|132|200|27|109|103|108|11|95|60|124|47|88,0
311,144,10,63,1
431,55,1,70|31|71|106|136|18|175|176|139|185,0
364,113,5,113|75|53,1
76,113,5,66|89|2|119|120|64|53|153|38|10|9|177|73|21|176,0
11,136,7,152|188|165|8|139|163|112|128|1|7|8,0
318,157,6,158|10|10|16|133,1
236,158,6,2|147|151|19|159|15,0
310,97,7,174|98|107|98|174,1
277,76,4,162|166|86|182|35|187|59|113|57,0
222,17,2,110|140|40|150|44|136|62|150|159|42|124|100|59,1
295,192,7,84|25|122|174|59|155|161|161|79|97|97|183|190,1
208,78,6,179,1
360,149,1,132|137|103|55|116|195|126|137,0
123,195,1,171|171|126|169|35|9|116,0
264,105,8,174|120|77|160|102|199|87|136|22|187,0
77,194,10,196|4|6|95|1|33|126|142,0
304,46,5,119|47|61|69|178|147|109|109|178|90|46,0
327,95,3,110|38|31|77|151|110|153,1
141,69,5,104|8|160,0
269,186,2,125|105|143|121|101|16|181|178,0
93,65,4,21|135|138|193|65|67|62|189|200|52|65|67|196,1
223,120,5,75|53|154|154|29|19,0
313,159,8,58|58|172|172|127|176|58|13|70|111,1
390,90,5,46|162|94|18|53|9|96|200|114|174|149|177|63,0
476,137,1,1|101|198|45|89,1
468,101,2,123|40|51,0
113,80,10,11|194|194|152|144,1
348,71,2,57|193|102,1
311,146,1,86|137|68|126|146|169|35,1
337,29,5,151|194|104,0
300,95,3,114|165|15|44|53|161|101|107|130,1
139,23,10,88|11|135|152|56|71|48|78|55|50|87|172|153,1
149,183,7,153|64|175|17|101,0
80,135,4,45|43|183|182|96|179|50|136|79|49|51|84|68|43,1
485,76,4,116|170,0
306,8,3,147|153|96|95|153|141,1
439,11,10,148,0
364,98,7,37|119,0
175,122,7,138|8|48|121|125|19|158|109|48|151,0
142,60,10,10|8|87|150|177|18|49|85|115,0
270,13,8,31|49,0
336,177,2,51|170|197|197|117|170|181|181|186|177|82|167,0
406,187,4,135|138|135|168|196|52|93|187|193,0
428,193,4,65|43|189|138|198|65|198|93|138|168,1
290,146,1,96|145|192|160|159|89|130|43|93|38|6|172|161|103|3,0
46,41,8,111|49|104|24,1
373,103,1,103|132|103|68|68|103|44|55|55|6|171|44,0
83,96,3,63|50|161|12|86,0
396,45,10,63|152|152|199|66|199,1
331,164,5,159|100|141|124|16|162|152|21,1
481,99,2,82|57|73|101|167|186|51|197|117|40|186|73|119,1
350,138,4,166|31|21|113|24,0
327,99,2,4|55|27|4|55|42|16|63|102|36|55|5,0
227,134,8,105|41|127|173|88|134|14|159|88|24|12|109,1
216,199,10,30|138|161|169|127|154|84,0
314,112,6,78,1
273,26,5,123|123|120|81|75,1
311,114,6,16|88|143|138|198|8|153|160,0
179,137,1,132|9|126|6|195|171|116|68|146|132|137|116|44,1
265,85,8,56|170|79|89|121|53|44|76,0
403,135,4,4|94|163|6|178|136|2|69|45|190|111,0
163,2,7,136|98|39|84,1
82,23,10,23|152|80|60|11|45|199|45|11|180|80|66|160,0
234,143,5,81|46|4|113|185|19|164|164|182|75|53|90|29|164,1
332,143,5,184|120|154|64|4|72|175|26,1
215,29,5,163|46|108|26|69|90|139|19|163|81|175|108,0
274,32,1,163|174|57|78|111|80|36|61,0
461,109,8,133|98|44|173|174|35,0
174,14,8,50|108|150|166,1
48,182,5,107|48|103|141|8|122|100|14|53|90,0
172,81,5,72|15|186|38|164|39|65|122,1
107,177,2,42|174|176|172|60,0
168,192,7,191|25|7|7|122|48|192|39|191|136,1
54,68,1,26|139|199|55|187,1
173,85,8,38|87|14|29|126|191|115|29,0
359,40,2,16|182|11|131|28|138|99|194|131,1
298,89,9,117,0
110,15,8,45|13|199|95|200|177|196,0
360,17,2,65|49|3|134|20|170|91|144|68|27|37|130|144,0
473,171,1,49|114|37|14|100|160|31,0
122,123,5,53|38|186|111|9,0
127,110,3,51|193|18|65|145|179|45|197|39|84,0
158,147,3,110|142|142|142|141|110|142|153|96|118|38|95,1
106,110,3,25|132|63|165|170|107|76|9|165|180|89|104|151,1
337,185,5,97|133|49|69|54|68|74|17|144|89|190|37,0
335,99,2,73|181|51|71|71|197|40,0
198,98,7,161|39|98|122|48|25|39|174|136|74|155|136|174|190|190,1
91,81,5,200|35|20|6|163|82|88|130|88|115,1
467,91,9,74|59|146,0
234,109,8,185|5|124|31|15|135|36|96|21|150|153|115|168|88,1
94,41,8,30|125|67|138|103,0
453,118,3,95|62|63|182|136|20|193|143|11|146,0
245,104,8,49|172|127|104|85,0
160,54,5,120|184|64|108|90|143|184|108|163|120|175|72|72|75,1
499,9,1,113|160|104|182|128|147|157|126,0
71,103,1,102|25|101,0
380,142,3,160|1|106,1
27,77,3,95|12|7|20|139|158|88|16,0
208,99,2,95|95|144|117|11|2|83|182|8,0
36,47,9,128|57|106|173,0
82,128,6,50,0
200,108,5,81|30|143|54|185|53|54|143|162|26,1
278,112,6,130|158|28|131|131|20|157|130|78|114|114|158|179|133|128,1
53,34,9,48|17,0
498,111,8,168|199|104|187|24|20|177|135|36|179,1
52,15,8,19|123|6|150|184|151|47|39|137|13|108|90|149,0
102,48,7,53|23|112|114|18|38,0
170,15,8,176|70|15,1
374,67,4,31|114|175|143|121|178|36|193,0
279,149,1,94|147|80|155|142|14|112|35|98|77|162|174|93|108|126,0
328,197,2,93|102|106|144|85|53|92|171|63|5|196|40|121,0
401,57,2,92|107|4,1
424,169,1,101,0
479,116,1,86|55|116|149|171|137|137|116|55|86|103|149|116|149|6,0
379,95,3,142|153|31|38|153|8|118|96,0
449,58,8,141|196|72|26|124|157|26|9|180,0
453,182,5,46|182|120|30|19|53|4|30|19|162|120|108|163|72|72,1
88,118,3,118|151|110|77|142|38|188|95|95|147|8|38|31|96|118,1
387,188,3,126,0
117,52,4,164|89|124|89|187|163|158|5|171|152|80|118,0
413,9,1,164|41|179|111|65|12|4|149|76|169,0
471,21,4,188|176|95|6|169|136|15|52|4|191,0
13,117,2,4|25|137|114|17|47|108|147|69|190|199|154|91,0
439,89,9,200|14|140|132|118|11|99|179|48|139|172|191|104,0
157,126,1,152|109|187|132|179|196|199|149|120|24|78|96,0
220,30,5,87|176|24|82|103|17|34|189|119|43|34,0
366,40,2,180|192|105|156|65|60|46|44|95|22|169,0
252,61,8,15|14|104|85|24|14|111|41,1
260,10,6,123|37|89|152|67|32,0
341,160,10,150|120|55|155|94|182|120|111|184|96|76|75,0
438,99,2,143|149|46|31|126|52,0
478,107,7,3|136|103|58|61|129|37|103|123|48|46|71|119|51|76,1
285,28,6,48|193|62,0
401,167,2,75|2,0
284,77,3,70|61|92|9,0
77,176,8,183|181|92|137|77|99|98|57|111|147|5,0
285,195,1,132|55|116|44|68|137|32|137|126|55,0
